goal,status,count,percentage,total
1,alcanzado,5,55.55555555555556,9
11,alcanzado,6,75.0,8
12,alcanzado,4,80.0,5
13,alcanzado,1,50.0,2
15,alcanzado,2,50.0,4
17,alcanzado,4,36.36363636363637,11
2,alcanzado,2,22.22222222222222,9
3,alcanzado,10,43.47826086956522,23
4,alcanzado,6,60.0,10
5,alcanzado,4,40.0,10
6,alcanzado,4,66.66666666666666,6
7,alcanzado,2,40.0,5
8,alcanzado,3,27.27272727272727,11
9,alcanzado,2,22.22222222222222,9
1,noevaluado,2,22.22222222222222,9
10,noevaluado,1,25.0,4
16,noevaluado,1,16.666666666666664,6
17,noevaluado,4,36.36363636363637,11
2,noevaluado,1,11.11111111111111,9
3,noevaluado,4,17.391304347826086,23
6,noevaluado,1,16.666666666666664,6
8,noevaluado,3,27.27272727272727,11
2,notstarted,1,11.11111111111111,9
1,progreso,2,22.22222222222222,9
10,progreso,2,50.0,4
12,progreso,1,20.0,5
13,progreso,1,50.0,2
15,progreso,2,50.0,4
16,progreso,2,33.33333333333333,6
17,progreso,3,27.27272727272727,11
2,progreso,2,22.22222222222222,9
3,progreso,3,13.043478260869565,23
4,progreso,3,30.0,10
5,progreso,3,30.0,10
7,progreso,3,60.0,5
8,progreso,5,45.45454545454545,11
9,progreso,5,55.55555555555556,9
10,retroceso,1,25.0,4
11,retroceso,2,25.0,8
16,retroceso,3,50.0,6
2,retroceso,3,33.33333333333333,9
3,retroceso,6,26.08695652173913,23
4,retroceso,1,10.0,10
5,retroceso,3,30.0,10
6,retroceso,1,16.666666666666664,6
9,retroceso,2,22.22222222222222,9
overall,alcanzado,55,41.66666666666667,132
overall,noevaluado,17,12.878787878787879,132
overall,notstarted,1,0.7575757575757576,132
overall,progreso,37,28.030303030303028,132
overall,retroceso,22,16.666666666666664,132
